Restaurant,Item,Calories
dominos-pizza,Ranch Dressing,220
dominos-pizza,Buffalo Chicken Sandwich,420
dominos-pizza,Chicken Bacon Ranch Sandwich,440
dominos-pizza,Chicken Parm Sandwich,380
dominos-pizza,Italian Sandwich,410
dominos-pizza,Mediterranean Veggie Sandwich,350
dominos-pizza,Philly Cheese Steak,320
dominos-pizza,Sweet & Spicy Chicken Habanero Sandwich,400
dominos-pizza,5 Cheese Oven Baked Dip,130
dominos-pizza,Apple Oven Baked Dip,60
dominos-pizza,Cheesy Marinara Oven Baked Dip,70
dominos-pizza,Loaded Tots,200
dominos-pizza,Stuffed Cheesy Bread,150
dominos-pizza,Cheeseburger Pizza,270
dominos-pizza,Chicken Taco Pizza,250
dominos-pizza,Anchovies,9
dominos-pizza,Bacon,54
dominos-pizza,Banana Peppers,0
dominos-pizza,Beef,63
dominos-pizza,Chedder Cheese,45
dominos-pizza,Extra Cheese,36
dominos-pizza,Fresh Mushrooms,0
dominos-pizza,Green Olives,18
dominos-pizza,Green Peppers,2
dominos-pizza,Ham,9
dominos-pizza,Italian Sausage,54
dominos-pizza,Onions,0
dominos-pizza,Pepperoni,54
dominos-pizza,Pinapple Tidbits,0
dominos-pizza,Ripe Olives,18
bojangles,"Bacon, Egg & Cheese Biscuit",470
bojangles,Cajun Filet Biscuit,570
bojangles,Cajun Filet Biscuit with Pimento Cheese,740
bojangles,Country Ham & Egg Biscuit,460
bojangles,Country Ham Biscuit,380
bojangles,Gravy Biscuit,430
bojangles,Old Fashioned Gravy Biscuit,410
bojangles,Pimento Cheese Biscuit,480
bojangles,Plain Biscuit,310
bojangles,Sausage & Egg Biscuit,350
bojangles,Sausage Biscuit,470
bojangles,Southern Filet Biscuit,550
bojangles,Steak Biscuit,620
bojangles,Chicken Breast,540
bojangles,Chicken Leg,190
bojangles,Chicken Rice Bowl,780
bojangles,Chicken Supremes,500
bojangles,Chicken Thigh,240
bojangles,Chicken Wing,150
bojangles,Homestyle Chicken Tenders,490
bojangles,Roasted Chicken Bites,350
bojangles,Bo-Berry Biscuit,370
bojangles,Cinnamon Biscuit,490
bojangles,Cinnamon Twist,380
bojangles,Sweet Potato Pie,350
bojangles,BBQ Sauce,100
bojangles,Bo's Special Sauce,270
bojangles,Honey Mustard Sauce,280
bojangles,Ranch Sauce,270
bojangles,Chicken Supremes Salad,490
bojangles,Garden Salad,120
bojangles,Grilled Chicken Salad,270
bojangles,Homestyle Chicken Tenders Salad,480
bojangles,Roasted Chicken Bites Salad,470
bojangles,Bo's Chicken Sandwich,670
bojangles,Cajun Filet Club Sandwich,750
bojangles,Cajun Filet Sandwich,670
bojangles,Grilled Chicken Club Sandwich,650
bojangles,Grilled Chicken Sandwich,570
bojangles,Bo-Tato Rounds,260
bojangles,Cajon Pinto Beans,130
bojangles,Cole Slaw,170
bojangles,Dirty Rice,170
bojangles,Green Beans,20
bojangles,Grits,90
bojangles,Macaroni 'n Cheese,280
bojangles,Mashed Potatoes 'n Gravy,120
bojangles,Seasoned Fries,360
mcalisters-deli,Nacho Basket,501
mcalisters-deli,Ultimate Nachos,590
mcalisters-deli,1% Milk,110
mcalisters-deli,Barq&#039;s Root Beer,190
mcalisters-deli,Coffee,5
mcalisters-deli,Coke,170
mcalisters-deli,Coke Zero,0
mcalisters-deli,Decaf Coffee,0
mcalisters-deli,Diet Coke,0
mcalisters-deli,Dr. Pepper,180
mcalisters-deli,Hi-C Fruit Punch,190
mcalisters-deli,Lemonade,250
mcalisters-deli,Sprite,180
mcalisters-deli,Strawberry Lemonade,280
mcalisters-deli,Sweet Tea,150
mcalisters-deli,Sweetened Lemonade Tea,200
mcalisters-deli,Unsweet Tea,0
mcalisters-deli,Unsweetened Lemonade Tea,120
mcalisters-deli,BBQ Spud Chips,220
mcalisters-deli,Cheetos Crunchy Mellow Cheese Snacks,310
mcalisters-deli,Doritos Nacho Cheese Tortilla Chips,240
mcalisters-deli,Jalapeno Spud Chips,220
mcalisters-deli,Sea Salt & Vinegar Spud Chips,220
mcalisters-deli,Sea Salt Spud Chips,220
mcalisters-deli,Sunchips Original Snacks,210
mcalisters-deli,Applewood Smoked Bacon,25
mcalisters-deli,Corned Beef,277
mcalisters-deli,Grilled Chicken,256
mcalisters-deli,Ham,262
mcalisters-deli,Harvest Chicken Salad,195
mcalisters-deli,Pastrami,272
mcalisters-deli,Roast Beef,272
mcalisters-deli,Salami,292
mcalisters-deli,Turkey,232
mcalisters-deli,Black Angus Club Sandwich,441
mcalisters-deli,BLT&A Sandwich,427
mcalisters-deli,Chicken BLT&A Sandwich,384
mcalisters-deli,Club Sandwich,410
mcalisters-deli,Club Wrap,388
mcalisters-deli,Four Cheese Melt,376
mcalisters-deli,French Dip,380
mcalisters-deli,Garden Fresh Turkey Sandwich,335
mcalisters-deli,Grilled Chicken Caesar Wrap,425
mcalisters-deli,Grilled Chicken Club Sandwich,418
mcalisters-deli,Grilled Chicken Sandwich,282
mcalisters-deli,Ham & Cheese Melt,357
mcalisters-deli,Harvest Chicken Salad Sandwich,341
mcalisters-deli,Horseradish Roast Beef Sandwich,346
mcalisters-deli,Jalapeno Turkey Crunch Sandwich,520
mcalisters-deli,King Club Sandwich,593
mcalisters-deli,Memphian Sandwich,366
mcalisters-deli,Orange Cranberry Club Sandwich,383
mcalisters-deli,Reuben,450
mcalisters-deli,Smoky Pepper Jack Turkey,390
mcalisters-deli,Spicy Southwest Chicken,453
mcalisters-deli,Spicy Turkey Melt,403
mcalisters-deli,Sweet Chipotle Chicken,313
mcalisters-deli,The Italian Sandwich,428
mcalisters-deli,The New Yorker Sandwich,408
mcalisters-deli,The Veggie Sandwich,340
mcalisters-deli,Brookie,480
mcalisters-deli,Brownie,430
mcalisters-deli,Chocolate Chip Cookie,370
mcalisters-deli,Cinnabon Mini Snickerdoodle Cookie Sandwich,240
mcalisters-deli,Godiva Double Chocolate Cheesecake,620
mcalisters-deli,Heath Cookie,410
mcalisters-deli,Macadamia Nut Cookie,410
mcalisters-deli,Oatmeal Raisin Cookie,360
mcalisters-deli,Salted Caramel Cookie,380
mcalisters-deli,Sugar Cookie,340
mcalisters-deli,Black Cherry Puree,35
mcalisters-deli,Peach Puree,40
mcalisters-deli,Strawberry Puree,40
mcalisters-deli,Black Angus Roast Beef Spud,523
mcalisters-deli,Chipotle Chicken & Bacon Spud,598
mcalisters-deli,Justaspud,360
mcalisters-deli,Spud Max,533
mcalisters-deli,Veggie Spud,457
mcalisters-deli,Kids 1% Milk,110
mcalisters-deli,Kids Apple Juice,40
mcalisters-deli,Kids Barq's Root Beer,70
mcalisters-deli,Kids Coke,60
mcalisters-deli,Kids Coke Zero,0
mcalisters-deli,Kids Diet Coke,0
mcalisters-deli,Kids Dr. Pepper,70
mcalisters-deli,Kids Hi-C Fruit Punch,70
mcalisters-deli,Kids Lemonade,90
mcalisters-deli,Kids Sprite,60
mcalisters-deli,Kids Sweet Tea,60
mcalisters-deli,Kids Unsweet Tea,0
mcalisters-deli,Kids Chicken &amp; Broccoli Bowl,228
mcalisters-deli,Kids Garden Salad,150
mcalisters-deli,Kids Ham &amp; Cheese Toastie,370
mcalisters-deli,Kids Mac &amp; Cheese,350
mcalisters-deli,Kids Pizza,300
mcalisters-deli,Kids Spud,320
mcalisters-deli,Kids Toasted Cheese Sandwich,430
mcalisters-deli,Kids Turkey &amp; Cheese Toastie,340
mcalisters-deli,Kids Uncrustable Sandwich,300
mcalisters-deli,Avocado Ranch Salad Dressing,220
mcalisters-deli,Buttermilk Ranch Salad Dressing,200
mcalisters-deli,Caesar Salad Dressing,380
mcalisters-deli,Chili Lime Vinaigrette,160
mcalisters-deli,Chipotle Peach Salad Dressing,120
mcalisters-deli,Chipotle Ranch Salad Dressing,280
mcalisters-deli,Honey Mustard Dressing,260
mcalisters-deli,Olive Oil & Balsamic Vinaigrette,140
mcalisters-deli,Raspberry Pecan Vinaigrette,87
mcalisters-deli,Sherry Shallot Dressing,300
mcalisters-deli,Thousand Island Salad Dressing,220
mcalisters-deli,Caesar Salad,460
mcalisters-deli,Chef Salad,240
mcalisters-deli,Chicken BLT&A Salad,404
mcalisters-deli,Garden Salad,150
mcalisters-deli,Garden Salad with Harvest Chicken Salad,404
mcalisters-deli,Grilled Chicken Caesar Salad,528
mcalisters-deli,Grilled Chicken Salad,248
mcalisters-deli,Pecanberry Salad,188
mcalisters-deli,Savannah Chopped Salad,236
mcalisters-deli,Southwest Chicken & Avocado Salad,307
mcalisters-deli,9-Grain Bread,170
mcalisters-deli,Baguette,140
mcalisters-deli,Ciabatta,180
mcalisters-deli,Country White Bread,150
mcalisters-deli,Croissant,140
mcalisters-deli,Gluten-Free White Bread,110
mcalisters-deli,Gluten-Free Whole Grain Bread,110
mcalisters-deli,Marbled Rye Bread,150
mcalisters-deli,Pretzel Roll,210
mcalisters-deli,Sliced Wheat Bread,110
mcalisters-deli,Wheat Wrap,145
mcalisters-deli,American,70
mcalisters-deli,Parmesan Cheese,13
mcalisters-deli,Pepper Jack,70
mcalisters-deli,Provolone,50
mcalisters-deli,Sharp Cheddar,30
mcalisters-deli,Swiss,30
mcalisters-deli,A1 Steak Sauce,8
mcalisters-deli,Au Jus,0
mcalisters-deli,Avocado Ranch Dressing,55
mcalisters-deli,Beef Gravy,20
mcalisters-deli,Buttermilk Ranch,100
mcalisters-deli,Caesar Dressing,190
mcalisters-deli,Chipotle Peach Sauce,30
mcalisters-deli,Chipotle Ranch Sauce,70
mcalisters-deli,Cholula Mayo,86
mcalisters-deli,Herb Mayo,100
mcalisters-deli,Honey Mustard,65
mcalisters-deli,Horseradish Dijon,70
mcalisters-deli,Mayo,54
mcalisters-deli,Olive Oil,23
mcalisters-deli,Olive Oil &amp; Balsamic Vinaigrette,70
mcalisters-deli,Orange Cranberry Sauce,40
mcalisters-deli,Raspberry Pecan Vinaigrette Sauce,43
mcalisters-deli,Spicy Brown Mustard,8
mcalisters-deli,Thousand Island,110
mcalisters-deli,Avocado,41
mcalisters-deli,Black Pepper,4
mcalisters-deli,Cilantro,0
mcalisters-deli,Cranberry Compote,120
mcalisters-deli,Cucumbers,3
mcalisters-deli,Jalapeno Chips,220
mcalisters-deli,"Roasted Corn, Poblano, and Black Bean Relish",27
mcalisters-deli,Roasted Onions & Mushrooms,18
mcalisters-deli,Roasted Tri-Color Peppers,3
mcalisters-deli,Romaine Lettuce,2
mcalisters-deli,Salad Mix,3
mcalisters-deli,Salt,0
mcalisters-deli,Sauerkraut,8
mcalisters-deli,Sliced Tomatoes,4
mcalisters-deli,Spinach,2
mcalisters-deli,Spring Mix,1
mcalisters-deli,Applesauce,50
mcalisters-deli,Fruit,60
mcalisters-deli,Mac &amp; Cheese,220
mcalisters-deli,Pickle Spear,0
mcalisters-deli,Potato Salad,250
mcalisters-deli,Steamed Broccoli,80
mcalisters-deli,Tomato and Cucumber Salad,67
mcalisters-deli,Applewood Smoked Bacon Soup Garnish,100
mcalisters-deli,Blue Corn Tortilla Chips,35
mcalisters-deli,Bread Bowl,460
mcalisters-deli,Cheddar-Jack,11
mcalisters-deli,Crispy Onion,40
mcalisters-deli,Croutons,15
mcalisters-deli,Green Onions,0
mcalisters-deli,Jalapenos,1
mcalisters-deli,Parmesan,11
mcalisters-deli,Saltines,50
mcalisters-deli,Sour Cream,15
mcalisters-deli,Tortilla Chips,36
mcalisters-deli,Broccoli Cheddar Soup,291
mcalisters-deli,Chicken and Dumplings Soup,170
mcalisters-deli,Chicken Tortilla Soup,198
mcalisters-deli,Country Potato Soup,265
mcalisters-deli,Fire Roasted Vegetable Soup,60
mcalisters-deli,Tomato Bisque,200
mcalisters-deli,Traditional Chili,245
mcalisters-deli,Veggie Chili,180
mcalisters-deli,Applewood Smoked Bacon for Spud,142
mcalisters-deli,Au Jus for Spud,0
mcalisters-deli,Black Angus Roast Beef,180
mcalisters-deli,Black Forest Ham,160
mcalisters-deli,Black Olives,25
mcalisters-deli,Broccoli,16
mcalisters-deli,Butter Packet,49
mcalisters-deli,Buttermilk Ranch for Spud,300
mcalisters-deli,Caramelized Onions,15
mcalisters-deli,Cheddar-Jack for Spud,220
mcalisters-deli,Diced Red Onions,10
mcalisters-deli,Diced Tomatoes,1
mcalisters-deli,Green Bell Peppers,5
mcalisters-deli,Green Onions for Spud,0
mcalisters-deli,Grilled Chicken Breast,147
mcalisters-deli,RO*TEL Cheese Sauce,212
mcalisters-deli,Roasted Tri-Color Peppers for Spud,25
mcalisters-deli,Sliced Red Onions,6
mcalisters-deli,Smoked Turkey,100
mcalisters-deli,Sour Cream for Spud,80
mcalisters-deli,Traditional Chili for Spud,245
mcalisters-deli,Veggie Chili for Spud,180
taco-bell,7 Layer Nacho Fries Burrito,570
taco-bell,Bean Burrito,350
taco-bell,Beefy 5-Layer Burrito,490
taco-bell,Beefy Crunch Burrito,460
taco-bell,Beefy Melt Burrito,620
taco-bell,Black Bean Quesarito,630
taco-bell,Burrito Supreme - Chicken,370
taco-bell,Burrito Supreme - Steak,370
taco-bell,Burrito Supreme – Beef,390
taco-bell,Cheesy Bean and Rice Burrito,410
taco-bell,Chicken Enchilada Burrito,380
taco-bell,Chile Verde Fries Burrito,560
taco-bell,Chili Cheese Burrito,370
taco-bell,Chipotle Ranch Grilled Chicken Burrito,510
taco-bell,Double Black Bean Grilled Cheese Burrito,910
taco-bell,Double Steak Grilled Cheese Burrito,910
taco-bell,Fiesta Veggie Burrito,560
taco-bell,Quesarito,630
taco-bell,Salsa Verde Grilled Chicken Burrito,390
taco-bell,Veggie Burrito Supreme,320
taco-bell,Black Bean Soft Taco,170
taco-bell,Crispy Melt Taco,250
taco-bell,Crunchy Taco,170
taco-bell,Crunchy Taco Supreme,190
taco-bell,Grilled Cheese Birria Dipping Taco,290
taco-bell,Nacho Cheese Doritos Locos Taco,170
taco-bell,Nacho Cheese Doritos Locos Taco Supreme,190
taco-bell,Rolled Chicken Tacos 2 pack,270
taco-bell,Rolled Chicken Tacos 4 pack,550
taco-bell,Soft Taco - Beef,180
taco-bell,Soft Taco Supreme – Beef,210
taco-bell,Spicy Potato Soft Taco,230
taco-bell,Aquafina Sparkling Berry Breeze,0
taco-bell,Blue Raspberry Breeze Freeze,130
taco-bell,Blue Raspberry Freeze,120
taco-bell,Brisk Mango Fiesta,100
taco-bell,Cinnabon Delights Coffee,160
taco-bell,Coffee,10
taco-bell,Coffee with Creamer,30
taco-bell,Diet Dr Pepper,0
taco-bell,Diet Mountain Dew,5
taco-bell,Diet Mountain Dew Baja Blast,0
taco-bell,Diet Pepsi,0
taco-bell,Dr Pepper,190
taco-bell,Gatorade G2 Fruit Punch,30
taco-bell,Iced Coffee,10
taco-bell,Lipton Unsweetened Iced Tea,0
taco-bell,Mountain Dew,220
taco-bell,Mountain Dew Baja Blast,220
taco-bell,Mountain Dew Baja Blast Freeze,150
taco-bell,Mountain Dew Baja Blast Zero Sugar,5
taco-bell,Mug Root Beer,190
taco-bell,Orange Juice,140
taco-bell,Pepsi,200
taco-bell,Pepsi Zero Sugar,0
taco-bell,Sierra Mist,200
taco-bell,Tropicana Pink Lemonade,210
taco-bell,Watermelon Berry Freeze,150
taco-bell,Wild Cherry Breeze Freeze,170
taco-bell,Wild Cherry Freeze,150
taco-bell,Wild Cherry Pepsi,210
taco-bell,Wild Strawberry Creme Delight Freeze,200
taco-bell,Wild Strawberry Freeze,150
taco-bell,Breakfast California Crunchwrap,630
taco-bell,Breakfast Crunchwrap - Bacon,670
taco-bell,Breakfast Crunchwrap - Sausage,710
taco-bell,Breakfast Crunchwrap - Steak,660
taco-bell,Breakfast Quesadilla,510
taco-bell,Breakfast Taco,220
taco-bell,Cheesy Toasted Breakfast Burrito,340
taco-bell,Cinnabon Delights,160
taco-bell,Grande Toasted Breakfast Burrito,560
taco-bell,Hash Brown,160
taco-bell,Hash Brown Toasted Breakfast Burrito,570
taco-bell,Bacon Club Chalupa,450
taco-bell,Black Bean Chalupa,330
taco-bell,Chalupa Supreme - Chicken,330
taco-bell,Chalupa Supreme - Steak,330
taco-bell,Chalupa Supreme – Beef,350
taco-bell,Breakfast Salsa,0
taco-bell,Cilantro Dressing,90
taco-bell,Creamy Jalapeno Sauce,70
taco-bell,Diablo Sauce,0
taco-bell,Fire Sauce,0
taco-bell,Green Tomatillo Sauce,10
taco-bell,Guacamole,35
taco-bell,Hot Sauce,0
taco-bell,Mild Sauce,0
taco-bell,Nacho Cheese Dip,150
taco-bell,Pepper Jack Sauce,70
taco-bell,Pico de Gallo,5
taco-bell,Pizza Sauce,10
taco-bell,Premium Guacamole Dip,70
taco-bell,Red Sauce,10
taco-bell,Reduced Fat Sour Cream,30
taco-bell,Reduced-Fat Sour Cream Dip,60
taco-bell,Salsa,5
taco-bell,Salsa Dip,10
taco-bell,Salsa Verde,5
taco-bell,Spicy Ranch Dip,230
taco-bell,Boss Nachos,1120
taco-bell,Nacho Party Pack,1770
taco-bell,Nachos BellGrande,720
taco-bell,7 Layer Nacho Fries,540
taco-bell,Black Beans,50
taco-bell,Black Beans & Rice,170
taco-bell,Cheesy Fiesta Potatoes,230
taco-bell,Chile Verde Fries,540
taco-bell,Chips & Guacamole,230
taco-bell,Chips & Pico De Gallo,180
taco-bell,Chips and Nacho Cheese Sauce,220
taco-bell,Cinnamon Twists,170
taco-bell,Loaded Truff Nacho Fries,500
taco-bell,Nacho Fries,320
taco-bell,Pintos n Cheese,180
taco-bell,Strawberry Twists,160
taco-bell,Yellowbird Nacho Fries,490
taco-bell,Black Bean Crunchwrap Supreme,510
taco-bell,Cheese Quesadilla,450
taco-bell,Cheesy Gordita Crunch,500
taco-bell,Cheesy Jalapeno Mexican Pizza,500
taco-bell,Cheesy Roll-Up,180
taco-bell,Chicken Chipotle Melt,190
taco-bell,Chicken Power Bowl,470
taco-bell,Chicken Quesadilla,510
taco-bell,Crunchwrap Supreme,530
taco-bell,Enchirito,360
taco-bell,Mexican Pizza,530
taco-bell,Steak Power Bowl,490
taco-bell,Steak Quesadilla,520
taco-bell,Veggie Mexican Pizza,460
taco-bell,Veggie Power Bowl,430
taco-bell,Volcano Double Beef Burrito,660
taco-bell,Volcano Taco,240
ruby-tuesday,Chicken Wings,492
ruby-tuesday,Crispy Chicken Bites,493
ruby-tuesday,Italian Five-Cheese Skillet,940
ruby-tuesday,Philly Cheesesteak Potstickers,275
ruby-tuesday,Queso & Chips,1127
ruby-tuesday,Sampler Trio,2451
ruby-tuesday,Shrimp Fondue,1251
ruby-tuesday,Spinach Artichoke Dip,1052
ruby-tuesday,Tempura Green Beans,791
ruby-tuesday,Thai Phoon Shrimp,782
ruby-tuesday,Thai Spring Rolls,568
ruby-tuesday,Avocado Grilled Chicken,1096
ruby-tuesday,Avocado Turkey Burger,1257
ruby-tuesday,Bacon Cheeseburger,1225
ruby-tuesday,Classic Cheeseburger,1131
ruby-tuesday,Colossal Burger,1679
ruby-tuesday,Grilled Chicken Sandwich,998
ruby-tuesday,Mega Mushroom &amp; Swiss Burger,1385
ruby-tuesday,Ruby&#039;s Classic Burger,1076
ruby-tuesday,Smokehouse Burger,1385
ruby-tuesday,Triple Prime Bacon Cheddar Burger,1214
ruby-tuesday,Triple Prime Burger,1076
ruby-tuesday,Triple Prime Cheeseburger,1131
ruby-tuesday,Triple Prime Mega Mushroom &amp; Swiss Burger,1390
ruby-tuesday,Triple Prime Smokehouse Burger,1287
ruby-tuesday,Chicken Bella,351
ruby-tuesday,Chicken Fresco,359
ruby-tuesday,Double Decker Chicken,706
ruby-tuesday,Hickory Bourbon Chicken,250
ruby-tuesday,Smoky Mountain Chicken,517
ruby-tuesday,Southern Style Chicken Tender Dinner,948
ruby-tuesday,Apple Crumble Skillet,877
ruby-tuesday,Caramel Crunch Cake,761
ruby-tuesday,Chocolate Fall Cake,1376
ruby-tuesday,Key Lime Cake,766
ruby-tuesday,Kids Chocolate Sundae,331
ruby-tuesday,Kids Strawberry Sundae,344
ruby-tuesday,New York Cheesecake,977
ruby-tuesday,Oreo Cookies &amp; Cream Cake,725
ruby-tuesday,Pineapple Upside Down Cake,493
ruby-tuesday,Fit & Trim Garden Salad,276
ruby-tuesday,Fit & Trim Petite Sirloin,505
ruby-tuesday,Fit & Trim Top Sirloin,633
ruby-tuesday,Fit &amp; Trim Chicken Bella,564
ruby-tuesday,Fit &amp; Trim Grilled Salmon,702
ruby-tuesday,Fit &amp; Trim Hickory Bourbon Chicken,462
ruby-tuesday,Fit &amp; Trim Hickory-Bourbon Salmon,668
ruby-tuesday,Kids Buttery Pasta,614
ruby-tuesday,Kids Buttery Pasta with Gluten-Free Penne,340
ruby-tuesday,Kids Cheese Pizza,470
ruby-tuesday,Kids Corn Dogs,636
ruby-tuesday,Kids Crispy Popcorn Shrimp,471
ruby-tuesday,Kids Fresh Green Beans,67
ruby-tuesday,Kids Fresh Grilled Zucchini,22
ruby-tuesday,Kids Fresh Steamed Broccoli,44
ruby-tuesday,Kids Grilled Chicken,191
ruby-tuesday,Kids Hand-Breaded Chicken Tenders,354
ruby-tuesday,Kids Mac n Cheese,408
ruby-tuesday,Kids Mashed Potatoes,293
ruby-tuesday,Kids Mini Burgers with Cheese,764
ruby-tuesday,Kids Side of Apples,65
ruby-tuesday,Kids Side of French Fries,255
ruby-tuesday,Kids Side of Grapes,60
ruby-tuesday,Kids Tomato Basil Pasta,435
ruby-tuesday,Kids Tomato-Basil Pasta with Gluten-Free Penne,285
ruby-tuesday,California Primavera Pasta,903
ruby-tuesday,Chicken &amp; Broccoli Pasta,1439
ruby-tuesday,Crispy Chicken Mac &#039;n Cheese,1473
ruby-tuesday,Gluten-Free California Primavera Pasta,937
ruby-tuesday,Parmesan Shrimp Pasta,1124
ruby-tuesday,Full-Rack Baby-Back Ribs,942
ruby-tuesday,Half-Rack Baby-Back Ribs,471
ruby-tuesday,Hickory Bourbon Glazed Pork Chop,570
ruby-tuesday,Ribs & Panko-Crusted Shrimp,732
ruby-tuesday,Ribs & Southern Style Chicken Tenders,824
ruby-tuesday,Triple Play,1000
ruby-tuesday,Artichoke Hearts,9
ruby-tuesday,Avocado,175
ruby-tuesday,Baby Carrots,12
ruby-tuesday,Baby Spinach,7
ruby-tuesday,Banana Peppers,10
ruby-tuesday,Beets,10
ruby-tuesday,Black Beans,28
ruby-tuesday,Black Olives,15
ruby-tuesday,Blue Cheese Crumbles,25
ruby-tuesday,Broccoli Florets,26
ruby-tuesday,Broiled Shrimp,221
ruby-tuesday,Candied Walnuts,208
ruby-tuesday,Celery Sticks,30
ruby-tuesday,Chopped Bacon,28
ruby-tuesday,Chopped Garden Bar Mix,10
ruby-tuesday,Chopped Romaine,10
ruby-tuesday,Crispy Cheese Crisps,228
ruby-tuesday,Crispy Onions,26
ruby-tuesday,Croutons,102
ruby-tuesday,Crunbled Feta Cheese,80
ruby-tuesday,Diced Apples,33
ruby-tuesday,Diced Cucumbers,8
ruby-tuesday,Diced Eggs,90
ruby-tuesday,Diced Grilled Chicken,170
ruby-tuesday,Diced Grilled Sirloin,229
ruby-tuesday,Diced Ham,40
ruby-tuesday,Diced Red Onions,32
ruby-tuesday,Dried Cranberries,55
ruby-tuesday,Edamame,107
ruby-tuesday,Field Greens,4
ruby-tuesday,Grape Tomatoes,9
ruby-tuesday,Grapes,30
ruby-tuesday,Green Peas,44
ruby-tuesday,Ham & Pea Pasta Salad,119
ruby-tuesday,Hummus,35
ruby-tuesday,Mandarin Oranges,80
ruby-tuesday,Olive Oil,120
ruby-tuesday,Pepper Strips,15
ruby-tuesday,Pico de Gallo,83
ruby-tuesday,Potato Salad,252
ruby-tuesday,Salmon,67
ruby-tuesday,Seasoned Lavash Crackers,114
ruby-tuesday,Shredded Carrots,22
ruby-tuesday,Shredded Cheddar Cheese,28
ruby-tuesday,Shredded Kale,7
ruby-tuesday,Shredded Mozzarella Blend,90
ruby-tuesday,Sliced Baby Bellas,17
ruby-tuesday,Spicy Roasted Broccoli,69
ruby-tuesday,Sunflower Seeds,46
ruby-tuesday,Veggie Basil Pasta Salad,264
ruby-tuesday,Wasabi Peas,126
ruby-tuesday,Balsamic Vinegar,14
ruby-tuesday,Buttermilk Blue Cheese Dressing,180
ruby-tuesday,Cajun Honey Sauce,87
ruby-tuesday,Caramel Sauce,110
ruby-tuesday,Chocolate Sauce,68
ruby-tuesday,Cilantro Lime Vinaigrette,63
ruby-tuesday,Classic Barbecue Sauce,60
ruby-tuesday,Cocktail Sauce,22
ruby-tuesday,Creamy Caesar Dressing,170
ruby-tuesday,Extra Virgin Olive Oil,120
ruby-tuesday,French Dressing,114
ruby-tuesday,Garden Herb Ranch Dressing,113
ruby-tuesday,Hickory Bourbon BBQ Sauce,60
ruby-tuesday,Honey Mustard Dressing,100
ruby-tuesday,Italian Herb Vinaigrette Dressing,130
ruby-tuesday,Lite Ranch Dressing,70
ruby-tuesday,Mayonnaise,222
ruby-tuesday,Mustard,2
ruby-tuesday,Parmesan Cream Sauce,58
ruby-tuesday,Raspberry Poppy Seed Vinaigrette,104
ruby-tuesday,Sour Cream,18
ruby-tuesday,Spicy Shrimp Sauce,170
ruby-tuesday,Thai Sauce,51
ruby-tuesday,Thousand Island Dressing,109
ruby-tuesday,Tomato Basil Sauce,15
ruby-tuesday,Whipped Butter,140
ruby-tuesday,White Cheddar Sauce,230
ruby-tuesday,Blackened Tilapia,204
ruby-tuesday,Grilled Salmon,491
ruby-tuesday,Hickory Bourbon Salmon,413
ruby-tuesday,New Orleans Seafood,349
ruby-tuesday,Shrimp Shack Platter,1055
ruby-tuesday,Skewered Shrimp,416
ruby-tuesday,Baked Potato,251
ruby-tuesday,Caesar Side Salad,361
ruby-tuesday,Cheese & Bacon Sliders Combo,894
ruby-tuesday,Cheese Sliders Combo,795
ruby-tuesday,French Fries,511
ruby-tuesday,Garden Side Salad,276
ruby-tuesday,Green Beans,67
ruby-tuesday,Grilled Asparagus,70
ruby-tuesday,Grilled Zucchini,22
ruby-tuesday,Loaded Baked Potato,562
ruby-tuesday,Mashed Potatoes,293
ruby-tuesday,Onion Rings,351
ruby-tuesday,Rice Pilaf,190
ruby-tuesday,Seasoned Steamed Broccoli,44
ruby-tuesday,Sweet Potato Fries,443
ruby-tuesday,White Cheddar Bacon Mac &#039;n Cheese,533
ruby-tuesday,BBQ Chicken Salad,988
ruby-tuesday,Broccoli &amp; Cheese Soup,292
ruby-tuesday,Crispy Chicken Cobb Salad,989
ruby-tuesday,Garden Vegetable Soup,35
ruby-tuesday,Grilled Chicken Kale Caesar Salad,878
ruby-tuesday,Grilled Salmon Kale Caesar Salad,913
ruby-tuesday,Kids Roasted Tomato Soup,376
ruby-tuesday,Mediterranean Chicken Salad,861
ruby-tuesday,Asiago Peppercorn Sirloin,374
ruby-tuesday,Asiago Peppercorn Strip,604
ruby-tuesday,Asiago Sirloin &amp; Panko-Crusted Shrimp,543
ruby-tuesday,Cajun Rib Eye,707
ruby-tuesday,Grilled Shrimp Skewers Steak Topping,107
ruby-tuesday,New York Strip,563
ruby-tuesday,Petite Sirloin,305
ruby-tuesday,Petite Sirloin &amp; Panko-Crusted Shrimp,564
ruby-tuesday,Top Sirloin,421
del-taco,Beer Battered Fish Taco,230
del-taco,Beyond Meat Avocado Taco,260
del-taco,Beyond Meat Taco,300
del-taco,Chicken Al Carbon Taco,150
del-taco,Crispy Chicken Taco,230
del-taco,Crispy Jumbo Shrimp Taco,280
del-taco,Crunchtada Tostada,330
del-taco,Crunchtada Tostada,330
del-taco,Grilled Chicken Taco,210
del-taco,Habanero Crispy Chicken Taco,240
del-taco,Honey Mango Crispy Chicken Taco,220
del-taco,Honey Mango Crispy Jumbo Shrimp Taco,250
del-taco,Street Taco,170
del-taco,Stuffed Quesadilla Taco,320
del-taco,The Del Taco,300
del-taco,Value Taco,130
